tweet_number,created_at,timestamp,text
147,2/12/2017 13:04:49,2/12/2017 9:04:49,"After two days of very productive talks, Prime Minister Abe is heading back to Japan. L"
148,2/12/2017 13:23:18,2/12/2017 9:23:18,I know Mark Cuban well. He backed me big-time but I wasn't interested in taking all of his calls.He's not smart enough to run for president!
149,2/12/2017 15:41:55,2/12/2017 11:41:55,Congratulations Stephen Miller- on representing me this morning on the various Sunday morning shows. Great job!
150,2/12/2017 22:19:05,2/12/2017 18:19:05,Just leaving Florida. Big crowds of enthusiastic supporters lining the road that the FAKE NEWS media refuses to mention. Very dishonest!
151,2/13/2017 15:53:08,2/13/2017 11:53:08,Today I will meet with Canadian PM Trudeau and a group of leading business women to discuss women in the workforce. https://t.co/bFAHPRXHdP
152,2/13/2017 16:59:06,2/13/2017 12:59:06,Welcome to the @WhiteHouse Prime Minister @JustinTrudeau! https://t.co/WKgF8Zo9ri
153,2/13/2017 18:50:57,2/13/2017 14:50:57,Wonderful meeting with Canadian PM @JustinTrudeau and a group of leading CEO's &amp; business women from Canada🇨🇦and th… https://t.co/wAoCOaYeZ6
154,2/14/2017 2:57:05,2/13/2017 22:57:05,Congratulations Treasury Secretary Steven Mnuchin! #ICYMI- watch here: https://t.co/RPsmw4yD7y https://t.co/K8tWLlXiYK
155,2/14/2017 3:30:45,2/13/2017 23:30:45,Congratulations to our new #VASecretary Dr. David Shulkin. Time to take care of Veterans who have fought to protect… https://t.co/FNewjbHuw4
156,2/14/2017 14:28:54,2/14/2017 10:28:54,The real story here is why are there so many illegal leaks coming out of Washington? Will these leaks be happening as I deal on N.Korea etc?
157,2/14/2017 20:21:59,2/14/2017 16:21:59,Great parent-teacher listening session this morning with @VP Pence &amp; @usedgov Secretary @BetsyDeVos. Watch:… https://t.co/nuLTs513Ot
158,2/14/2017 21:48:10,2/14/2017 17:48:10,"Remarks by President Trump at Signing of H.J. Resolution 41'
https://t.co/Q3MoCGAc54 https://t.co/yGDDTKm9Br"
